yituanzao	chaos	一团糟
yidijimao	complete mess	一地鸡毛
yidui	pile	一堆
yichangkong	all in vain	一场空
yikuai	a piece	一块
yibi	at the same time	一壁
yibixiang	see 一壁[yi1 bi4]	一壁厢
yixi	overnight	一夕
yiduoduiying	one-to-many correspondence	一多对应
yiyezhijian	overnight	一夜之间
yiyeqing	one night stand	一夜情
yiyewumian	have a sleepless night	一夜无眠
yiyebaohong	become popular overnight	一夜爆红
yiyelushui	one-night stand	一夜露水
yidazao	at dawn	一大早
yidatong	a whole lot of ...	一大通
yitianyigeyang	change from day to day	一天一个样
yitiandaowan	all day long	一天到晚
yifuyiqi	monogamy	一夫一妻
yifuduoqi	polygyny	一夫多妻
yitao	suit	一套
yiru	be just like	一如
yiruwangchang	as usual	一如往常
yirusuoliao	as expected	一如所料
yirujiwang	just as in the past	一如既往
yiqizhi	monogyny	一妻制
yijie	top-ranked female	一姐
yikongzhijian	partial view	一孔之见
yizi	in a row	一字
yiziyilei	each word is a teardrop	一字一泪
yizibucha	word for word	一字不差
yizibuti	not mention a single word	一字不提
yizibulou	without missing a word	一字不漏
yizibula	see 一字不漏[yi1 zi4 bu4 lou4]	一字不落
yizibushi	totally illiterate	一字不识
yizir	erhua form of 一字[yi1 zi4]	一字儿
yizijin	headband	一字巾
yizizongdui	single file	一字纵队
yizima	the splits	一字马
yixuejiuhui	pick up  in a very short time	一学就会
yiding	surely	一定
yijia	the whole family	一家
yijiazhizhu	master of the house	一家之主
yijiaren	the whole family	一家人
yijiazi	the whole family	一家子
yixiu	one whole night	一宿
yishen	first instance	一审
yicunguangyinyicunjin	time is precious	一寸光阴一寸金
yidui	couple	一对
yiduiyi	one-to-one	一对一
yiduiyidouniu	one-on-one basketball game	一对一斗牛
yiduir	a pair	一对儿
yixiaocuo	handful	一小撮
yixiaobufen	a small part	一小部分
yixiaozhenr	very brief period of time	一小阵儿
yizhanshenshou	showcase one's talents	一展身手
yiceng	one layer	一层
yiji	oneself	一己
yixizhidi	place	一席之地
yixihua	the content of a conversation	一席话
yidai	region	一带
yidaierguo	skate around	一带而过
yinianyidu	annual	一年一度
yiniandaotou	all year round	一年到头
yinianban	a year and a half	一年半
yinianbanzai	about a year	一年半载
yiniansiji	all year round	一年四季
yinianduo	more than a year	一年多
yinianqi	one year period	一年期
yiniansheng	annual	一年生
yidu	for a time	一度
yixiangqingyuan	one's own wishful thinking	一厢情愿
yishierfen	in duplicate	一式二份
yitanzhiqing	a snap of the fingers	一弹指顷
yiwangqingshen	deeply attached	一往情深
yiwangwuqian	advance courageously	一往无前
yilu	same	一律
yijing	directly	一径
yixin	wholeheartedly	一心
yixinyide	of one heart and one mind	一心一德
yixineryong	do two things at once	一心二用
yixinduoyong	multitask	一心多用
yinianzhicha	momentary slip	一念之差
yiyi	focus	一意
yiying	all	一应
yichengbubian	immutable	一成不变
yizhan	World War I	一战
yishou	a skill	一手
yida	dozen	一打
yibahaoshou	expert	一把好手
yibanianji	be getting on in years	一把年纪
yibashou	working hand	一把手
yibazhua	attempt all tasks at once	一把抓
yibasina	stubborn	一把死拿
yibayaoshikaiyibasuo	One key opens one lock.	一把钥匙开一把锁
yizhuayidaba	be a dime a dozen	一抓一大把
yiminzi	a little bit	一抿子
yipailiangsan	break up	一拍两散
yisaoerkong	make a clean sweep of	一扫而空
yipai	row	一排
yitanjiujing	check out	一探究竟
yituiliuerwu	1 divided by 16 is 0.0625	一推六二五
yijutongqingzhilei	shed tears of sympathy	一掬同情之泪
yihuierjiu	finish  at a stroke	一挥而就
yibor	group of people	一拨儿
yiyongershang	swarm around	一拥而上
yiyongerru	swarm in	一拥而入
yijirudong	hole in one	一击入洞
yilanzi	all-inclusive	一揽子
yigaizaigai	change  repeatedly	一改再改
yiwenbuzhi	worthless	一文不值
yiwenbuming	be penniless	一文不名
yiban	lit. one spot	一斑
yifang	a party	一方
yifangmian	on the one hand	一方面
yipang	aside	一旁
yizu	social group	一族
yirisancan	have three meals a day	一日三餐
yiriburuyiri	be getting worse by the day	一日不如一日
yirizhiya	lit. friends for a day	一日之雅
yiriqianli	lit. one day, a thousand miles	一日千里
yiriyou	day trip	一日游
yidan	in case	一旦
yizao	early in the morning	一早
yixingbandian	just the tiniest bit	一星半点
yishiyiershier	lit. one is one, two is two	一是一，二是二
yishi	a period of time	一时
yishibanke	a short time	一时半刻
yishibanshang	a short time	一时半晌
yishibanhui	a short time	一时半会
yishibanhuir	a short time	一时半会儿
yishibansha	a short time	一时半霎
yishijian	for a moment	一时间
yihuang	in an instant	一晃
yipushihan	one day's sun, ten days' frost	一曝十寒
yihui	a moment	一会
yihuir	a moment	一会儿
yiyue	January	一月
yiyuefen	January	一月份
yiwangwuji	as far as the eye can see	一望无际
yiwangerzhi	be evident at a glance	一望而知
yichaotianziyichaochen	new emperor, new officials	一朝天子一朝臣
yibenzhengjing	in deadly earnest	一本正经
yibenwanli	small capital, huge profit	一本万利
yibeigeng	lit. a cup of soup	一杯羹
yidongyixi	far apart	一东一西
yigenjin	stubborn	一根筋
yiganjindong	hole in one	一杆进洞
yitiaoxin	be of one mind	一条心
yitiaodaozoudaohei	stick to one's ways	一条道走到黑
yitiaolong	lit. one dragon	一条龙
yitiaolongfuwu	one-stop service	一条龙服务
yigunzidasi	deal a single fatal blow	一棍子打死
yigai	all	一概
yiqiangmingzhong	hit with the first shot	一枪命中
yimuyiyang	exactly alike	一模一样
yiyang	same	一样
yici	first	一次
yicihanshu	linear function	一次函数
yiciyouyici	repeatedly	一次又一次
yicixing	one-off	一次性
yicifangcheng	linear equation	一次方程
yicifangchengshi	linear equation	一次方程式
yicizongfu	lump-sum	一次总付
yibuyigejiaoyin	one step, one footprint	一步一个脚印
yibuyiqu	see 亦步亦趨|亦步亦趋[yi4 bu4 yi4 qu1]	一步一趋
yibudaowei	accomplish in one step	一步到位
yibuqun	pencil skirt	一步裙
yimaoyiyang	exactly alike	一毛一样
yiqi	at one go	一气
yiqizhixia	in a fit of pique	一气之下
yiqihecheng	do something at one go	一气呵成
yiyanghuaerdan	nitrous oxide N2O	一氧化二氮
yiyanghuadan	nitric oxide	一氧化氮
yiyanghuatan	carbon monoxide CO	一氧化碳
yishuir	of the same type	一水儿
yijuecixiong	have a showdown	一决雌雄
yipaihuyan	a bunch of nonsense	一派胡言
yipaihuangyan	a pack of lies	一派谎言
yiliu	top quality	一流
yiqingerchu	be very clear about sth	一清二楚
yiqingerbai	perfectly clean	一清二白
yiqingrushui	lit. as clear as water	一清如水
yiqingzao	early in the morning	一清早
yizhun	certainly	一准
yiliuyan	like a wisp of smoke	一溜烟
yitansishui	a pool of stagnant water	一潭死水
yipaoerhong	win instant success	一炮而红
yiwusuodong	totally unaffected	一无所动
yiwusuoyou	not having anything at all	一无所有
yiwusuohuo	gain nothing	一无所获
yiwusuozhi	not knowing anything at all	一无所知
yiwusuowen	unheard of	一无所闻
yiwusuochang	not having any special skill	一无所长
yiwushichu	not one good point	一无是处
yifanzaifan	keep doing	一犯再犯
yiqinyihe	carrying very little luggage	一琴一鹤
yisheng	all one's life	一生
yishengyishi	a whole lifetime	一生一世
yijiazi	sixty years	一甲子
yinanbannu	a son or daughter	一男半女
yiqueyiguai	limp	一瘸一拐
yibaiyi	faultless	一百一
yipanqi	chessboard layout	一盘棋
yimuliaoran	obvious at a glance	一目了然
yimushihang	ten lines at a glance	一目十行
yimuliaoran	obvious at a glance	一目了然
yizhi	straight	一直
yizhiyilai	in the past always	一直以来
yizhayan	in a wink	一眨眼
yiyan	a glance	一眼
yiyanwangqu	as far as the eye can see	一眼望去
yizhong	a group of people	一众
yidu	look	一睹
yipie	glance	一瞥
yishun	one instant	一瞬
yishunjian	split second	一瞬间
yishierniao	kill two birds with one stone	一石二鸟
yishenjiao	monotheistic religion	一神教
yishenlun	monotheism	一神论
yibingqiancheng	earnestly and sincerely	一秉虔诚
yimi	first secretary	一秘
yizhong	one kind of	一种
yikong	leaving none left	一空
