yijingyizha	frightened	一惊一乍
yiti	an integral whole	一体
yitiliangmian	two sides of the same coin	一体两面
yitihua	integrate	一体化
yihongersan	see 一哄而散[yi1 hong1 er2 san4]	一哄而散
yilinbanzhao	lit. one scale and half a claw	一鳞半爪
yiheizao	at daybreak	一黑早
yidian	a bit	一点
yidianyidi	bit by bit	一点一滴
yidianyidian	little by little	一点一点
yidianbu	not at all	一点不
yidianjiutong	a hint is all that is needed	一点就通
yidianshuiyigepao	honest and trustworthy	一点水一个泡
yidiandian	a little bit	一点点
yidang	one-party	一党
yidangzhuanzhi	one party dictatorship	一党专制
yiguzuoqi	in a spurt of energy	一鼓作气
yiqi	at the same time	一齐
ding	surname Ding	丁
ding	male adult	丁
zheng	used in 丁丁[zheng1 zheng1]	丁
dingding	penis	丁丁
dingdingchaomian	chopped fried noodles	丁丁炒面
dingerxi	butadiene C4H6	丁二烯
dingerchun	butyl glycol	丁二醇
dingke	Dual Income, No Kids	丁克
dingneizhi	butyrolactone	丁内酯
dingdong	ding dong	丁冬
dingmaozhanzheng	first Manchu invasion of Korea	丁卯战争
dingmaohuluan	first Manchu invasion of Korea	丁卯胡乱
dingxingganyan	hepatitis D	丁型肝炎
dingji	butyl group	丁基
dingzi	T-shape	丁字
dingzichi	T-square	丁字尺
dingziliang	T-girder	丁字梁
dingzibu	T-step	丁字步
dingzijie	T-junction	丁字街
dingziku	thong	丁字裤
dingzigao	hammer pick	丁字镐
dingke	variant of 丁克[ding1 ke4]	丁客
dingning	variant of 叮嚀|叮咛[ding1 ning2]	丁宁
dinggequan	dingo	丁格犬
dingxi	butene or butylene C4H8	丁烯
dingwan	butane	丁烷
dingjingshoutao	nitrile glove	丁腈手套
dingjingxiangjiao	nitrile rubber	丁腈橡胶
dingchun	butanol	丁醇
dingquan	butyraldehyde	丁醛
dinglingdanglang	sound of a bell: ding-a-ling	丁零当啷
dingqing	see 丁青縣|丁青县[Ding1 qing1 Xian4]	丁青
dingxiang	lilac	丁香
dingguniupai	T-bone steak	丁骨牛排
dingdiao	tench	丁鲷
dinggui	tench	丁鱥
dingdian	tiny bit	丁点
qi	seven	七
qiqibaba	almost	七七八八
qishangbaxia	at sixes and sevens	七上八下
qishangbaluo	see 七上八下[qi1 shang4 ba1 xia4]	七上八落
qifenzhiyi	one seventh	七分之一
qifenshu	medium well	七分熟
qishi	seventy	七十
qishiniandai	the seventies	七十年代
qihexian	seventh	七和弦
qixi	7 Up	七喜
qizuibazhang	see 七嘴八舌[qi1 zui3 ba1 she2]	七嘴八张
qidu	see 七堵區|七堵区[Qi1 du3 Qu1]	七堵
qidagubadayi	distant relatives	七大姑八大姨
qizimeixingtuan	Pleiades M45	七姊妹星团
qiqiaoban	tangram	七巧板
qidaishibanyu	Epinephelus septemfasciatus	七带石斑鱼
qinianzhiyang	seven-year itch	七年之痒
qixianqin	guqin or seven-stringed zither	七弦琴
qiwanbaguai	twisting and turning	七弯八拐
qicai	seven colors	七彩
qiqing	seven emotional states	七情
qiqingliuyu	various emotions and desires	七情六欲
qishoubajiao	with everyone lending a hand	七手八脚
qiniubawai	misshapen	七扭八歪
qipinbacou	assembled at random	七拼八凑
qirire	leptospirosis	七日热
qixun	70 years	七旬
qixing	see 七星區|七星区[Qi1 xing1 Qu1]	七星
qixingpiaochong	seven-spotted ladybug	七星瓢虫
qiyue	July	七月
qiyuefen	July	七月份
qiwushi	Seven Samurai	七武士
qijifutu	seven floor pagoda	七级浮屠
qilaobashi	in one's seventies	七老八十
qisheng	tones of the musical scale	七声
qishengyinjie	heptatonic scale	七声音阶
qiyeshu	Chinese horse chestnut	七叶树
qihunbasu	confused	七荤八素
qihaodianchi	AAA battery	七号电池
qijiaoxing	heptagon	七角形
qibianxing	heptagon	七边形
qilihe	see 七里河區|七里河区[Qi1 li3 he2 Qu1]	七里河
qilixiang	orange jasmine	七里香
qilingbasui	bits and pieces	七零八碎
qixiangquanneng	heptathlon	七项全能
qisaiman	lamprey	七鳃鳗
shang	old variant of 上[shang4]	丄
xia	old variant of 下[xia4]	丅
mo	used in 万俟[Mo4 qi2]	万
moqi	two-character surname Moqi	万俟
zhangren	wife's father	丈人
zhangfu	husband	丈夫
zhangmu	wife's mother	丈母
zhangmuniang	wife's mother	丈母娘
zhangliang	measure	丈量
san	surname San	三
san	three	三
sanc	see 3C[san1 C]	三C
sankdang	Ku Klux Klan	三K党
sanp	threesome	三P
sanqiershiyi	three sevens are twenty-one	三七二十一
sanqizi	pimp	三七仔
sanqikai	ratio seventy to thirty	三七开
sansanliangliang	in twos and threes	三三两两
sanxiawuchuer	three, set five remove two	三下五除二
sanxialiangxia	quickly and effortlessly	三下两下
sanbu	the three no's	三不
sanbuwushi	from time to time	三不五时
sanbuzhan	air ball	三不沾
sanbuguan	of undetermined status	三不管
sanshi	the Third	三世
sanwu	several	三五
sanwuchengqun	in groups of three or four	三五成群
sanjing	Mitsui	三井
sanya	see 三亞市|三亚市[San1 ya4 Shi4]	三亚
sanrenxing	threesome	三人行
sandai	three generations of a family	三代
sanlingwushen	order again and again	三令五申
sanjiantaoshixizhuang	three-piece suit	三件套式西装
sanfutian	see 三伏[san1 fu2]	三伏天
sanweiyiti	Holy Trinity	三位一体
sangenurenyigexu	three women makes a crowd	三个女人一个墟
sanbei	triple	三倍
sancuisiqing	coax and plead	三催四请
sanjia	trivalent	三价
sanyuan	see 三元區|三元区[San1 yuan2 Qu1]	三元
sanyuanchun	triol	三元醇
sanyuanyin	triphthong	三元音
sankeyou	thank you	三克油
sanliang	two or three	三两
sanbadagai	Arisaka Type 38 rifle	三八大盖
sanbajie	International Women's Day	三八节
sanfen	somewhat	三分
sanfenzhiyi	one third	三分之一
sanfenshu	medium rare	三分熟
sanfenqiu	three-point shot	三分球
sanfenzhongredu	brief period of enthusiasm	三分钟热度
sanfentou	regular men's haircut	三分头
sanshi	thirty	三十
sanshibaduxian	38th parallel	三十八度线
sanqiandaqianshijie	cosmos	三千大千世界
sanyuan	see 三原縣|三原县[San1 yuan2 Xian4]	三原
sanchaji	trident	三叉戟
sanchashenjing	trigeminal nerve	三叉神经
sanjuhuabulibenhang	talk shop all the time	三句话不离本行
santai	see 三台縣|三台县[San1 tai2 Xian4]	三台
sanheyi	three in one	三合一
sanhexing	triple star system	三合星
sanhehui	triad, Chinese crime gang	三合会
sanhexian	triad	三和弦
santianliangtou	lit. twice every three days	三天两头
sanqisiqie	have many wives and concubines	三妻四妾
sanzijing	swearword	三字经
sanjiacun	village of three households	三家村
sanbaoniao	Oriental dollarbird	三宝鸟
sancunbulanzhishe	have a silver tongue	三寸不烂之舌
sancunjinlian	bound foot	三寸金莲
sanduisandouniu	three-on-three basketball game	三对三斗牛
sanxiao	what the hell?	三小
sanjianshanzhijian	harringtonine	三尖杉酯碱
sanjianban	tricuspid valve	三尖瓣
sanjuliangsheng	best of three	三局两胜
santizhuo	three-drawer desk	三屉桌
sandu	third	三度
sanxiang	sedan	三厢
sanxineryi	in two minds about sth	三心二意
sansierxing	think three times then go	三思而行
sanshoubing	repetitive strain injury	三手病
sanzhegong	break one's arm three times	三折肱
sanaotang	san'ao decoction	三拗汤
sanzhen	strike out	三振
sanzhenchuju	see 三振[san1 zhen4]	三振出局
sanjiao	the Three Doctrines	三教
sanwenzhi	sandwich	三文治
sanwenyu	salmon	三文鱼
sanban	common name for paradise fish	三斑
sanzu	three generations	三族
sanming	see 三明市[San1 ming2 Shi4]	三明
sanmingzhi	sandwich	三明治
sanxing	Samsung	三星
sanxingjituan	Samsung Group	三星集团
sanchun	the three spring months	三春
sanmei	Samadhi	三昧
sangengbanye	in the depth of the night	三更半夜
sanyue	March	三月
sanyuefen	March	三月份
sanpengsiyou	friends	三朋四友
sanban	sampan	三板
sanzhumen	wicket	三柱门
sankuanglan	radical 匚[fang1]	三框栏
santiao	three of a kind	三条
sanjiguan	triode	三极管
sanquanfenli	separation of powers	三权分立
sanquandingli	separation of powers	三权鼎立
sanci	third	三次
sanciyuan	three-dimensional	三次元
sancimi	cube	三次幂
sancifang	cube	三次方
sancifangcheng	cubic equation	三次方程
sanciquxian	cubic curve	三次曲线
sanduanlun	syllogism	三段论
sanmaomao	tortoiseshell cat	三毛猫
sanmin	see 三民區|三民区[San1 min2 Qu1]	三民
sanfuhuapeng	boron trifluoride	三氟化硼
sanluhualin	phosphorous trichloride	三氯化磷
sanluhuatie	ferric chloride FeCl3	三氯化铁
sanluyanglin	phosphorous oxychloride	三氯氧磷
sanluqingan	melamine C3H6N6	三氯氰胺
sanlujiawan	chloroform	三氯甲烷
sanluzhetang	sucralose	三氯蔗糖
sanshui	see 三水區|三水区[San1 shui3 Qu1]	三水
sansha	see 三沙市[San1 sha1 Shi4]	三沙
sanhe	see 三河市[San1 he2 Shi4]	三河
sanliu	third-rate	三流
sanpu	Miura	三浦
sanwennuan	sauna	三温暖
sanpao	simple-minded person	三炮
sanwu	lacking three key attributes	三无
sansheng	the three sacrificial animals	三牲
sanbandao	three-shift system	三班倒
sanwaliangshe	places of pleasure	三瓦两舍
sanyongdianbiao	multimeter	三用电表
santian	Mita, Sanda, Mitsuda etc	三田
santian	3 annual hunting bouts	三田
sanfanwuci	over and over again	三番五次
sanfanliangci	repeatedly	三番两次
sandieji	Triassic	三叠纪
sanbailiushihang	all walks of life	三百六十行
sanhuangpaochui	Pao Chui	三皇炮捶
sanxiangdian	triple point	三相点
sanxiaojijiaben	trinitrotoluene	三硝基甲苯
sanlinsuanxiangan	adenosine triphosphate	三磷酸腺苷
sanmiaojiao	superglue	三秒胶
sanlengcao	sedge herb	三棱草
sanlengjing	prism	三棱镜
sansui	see 三穗縣|三穗县[San1 sui4 Xian4]	三穗
sandengfen	trisect	三等分
sandengfenjiao	trisect an angle	三等分角
sanjiebian	three-section staff	三节鞭
sanji	grade 3	三级
sanjishiguan	staff sergeant	三级士官
sanjipian	third category movie	三级片
sanjitiao	triple jump	三级跳
sanjitiaoyuan	triple jump	三级跳远
sanwei	three-dimensional	三维
sanweikongjian	three-dimensional space	三维空间
sanjianqikou	reluctant to speak about it	三缄其口
sanjuqingan	melamine C3H6N6	三聚氰胺
sanjuti	trimer	三聚体
sanlianguan	microtubule triplet	三联管
sanpeicengdongwu	triploblastic animals	三胚层动物
sanbaotai	triplets	三胞胎
sanjiaoliangbu	hurriedly	三脚两步
sanjiaojia	tripod	三脚架
sanjiao	variant of 三焦[san1 jiao1]	三膲
sansejin	pansy	三色堇
sanseziluolan	pansy	三色紫罗兰
sansemao	calico cat	三色猫
sanling	Mitsubishi	三菱
sanyexingyun	Trifid Nebula, M20	三叶星云
sanyecao	clover	三叶草
sanyechong	trilobite	三叶虫
sanfanshi	San Francisco	三藩市
sansu	the Three Su's	三苏
sanhaomugan	spoon	三号木杆
sanhaodianchi	C size battery	三号电池
sanqinliugu	old friends and relatives	三亲六故
sanjiao	triangle	三角
sanjiaozhai	triangular debt	三角债
sanjiaodeng	three-legged stool	三角凳
sanjiaohanshu	trigonometric function	三角函数
sanjiaoxue	trigonometry	三角学
sanjiaojin	sling	三角巾
sanjiaodai	V-belt	三角带
sanjiaozuo	Triangulum	三角座
sanjiaoxing	triangle	三角形
sanjiaokonglong	triceratops	三角恐龙
sanjiaolian	love triangle	三角恋
sanjiaolianai	love triangle	三角恋爱
sanjiaoqi	triangular flag	三角旗
sanjiaoban	set square	三角板
sanjiaozhuti	triangular prism	三角柱体
sanjiaofa	trigonometry	三角法
sanjiaozhou	delta	三角洲
sanjiaoceliangfa	triangulation	三角测量法
sanjiaoji	deltoid muscle	三角肌
sanjiaofudai	athletic supporter	三角腹带
sanjiaoku	briefs	三角裤
sanjiaokucha	briefs	三角裤衩
sanjiaozhui	triangular pyramid	三角锥
sanjiaotie	triangle	三角铁
sanjiaoguanxi	triangular relationship	三角关系
sanjiaolong	triceratops	三角龙
sanyanliangju	in a few words	三言两句
sanyanliangyu	in a few words	三言两语
sanlunzong	Three Treatise School	三论宗
sanzhizhuomuniao	Eurasian three-toed woodpecker	三趾啄木鸟
sanzhibinyu	sanderling	三趾滨鹬
sanzhicuiniao	black-backed dwarf kingfisher	三趾翠鸟
sanzhiyaque	three-toed parrotbill	三趾鸦雀
sanzhiou	black-legged kittiwake	三趾鸥
sanbengzi	motorized three-wheeler	三蹦子
sanjun	upper, middle and lower army	三军
sanjunyongming	throw oneself into the battle	三军用命
sanlun	see 三輪車|三轮车[san1 lun2 che1]	三轮
sanlunche	pedicab	三轮车
sanlunchefu	pedicab driver	三轮车夫
santong	T-joint	三通
sanliansheng	hat-trick	三连胜
sandaomeicaowu	meadow bunting	三道眉草鹀
sanbianxing	triangle	三边形
sanbuqu	trilogy	三部曲
sansuanganyouzhi	triglyceride	三酸甘油酯
sanlitun	Sanlitun	三里屯
sanlihe	Sanlihe	三里河
sanchong	treble	三重
sanchongzou	trio	三重奏
sanjian	triple bond	三键
santie	triathlon	三铁
sanchangliangduan	unexpected misfortune	三长两短
sanmen	see 三門縣|三门县[San1 men2 Xian4]	三门
sanpeixiaojie	female escort	三陪小姐
sanzhishou	pickpocket	三只手
sanyin	third	三音
sanyindu	third	三音度
sanxiang	three items	三项
sanxiangquanneng	triathlon	三项全能
sanxiangshi	trinomial	三项式
santouliubi	three heads and six arms	三头六臂
santouji	triceps muscle	三头肌
sanjiamache	troika	三驾马车
santi	trisomy	三体
santiwenti	three-body problem	三体问题
sanxian	three fresh ingredients	三鲜
sanlu	Sanlu	三鹿
sanma	three-player mahjong	三麻
sandianquanlou	naked	三点全露
shang	used in 上聲|上声[shang3 sheng1]	上
shang	up	上
shangyige	previous one	上一个
shangyihao	go pee	上一号
shangyiye	preceding page	上一页
shangshangzhice	the best policy	上上之策
shangxia	the top and bottom of sth	上下
shangxiaqishou	raise and lower one's hand	上下其手
shangxiachuang	bunk bed	上下床
shangxiawen	context	上下文
shangxiawencaidan	context menu	上下文菜单
shangxiaban	start and finish work	上下班
shangxiapu	bunk bed	上下铺
shangcheng	first-class	上乘
shanglenianji	be getting on in years	上了年纪
shangjiao	hand over to	上交
shangdai	previous generation	上代
shangren	take office	上任
shangwei	seat of honor	上位
shangweigainian	superordinate concept	上位概念
shangweici	hypernym	上位词
shangjia	excellent	上佳
shanglai	come up	上来
shanggong	make offerings	上供
shangge	first	上个
shanggexingqi	last week	上个星期
shanggeyue	last month	上个月
shangchuan	upload	上传
shangyuan	see 元宵節|元宵节[Yuan2 xiao1 jie2]	上元
shangyuanjie	see 元宵節|元宵节[Yuan2 xiao1 jie2]	上元节
shangfen	progress to the next level	上分
shangxing	severe punishment	上刑
shangqian	advance	上前
shangsheng	rise	上升
shangshengkongjian	upside	上升空间
shangshengqushi	an upturn	上升趋势
shangwu	morning	上午
shangban	first half	上半
shangbanye	first half of the night	上半夜
shangbantian	morning	上半天
shangbannian	first half of the year	上半年
shangbanshang	forenoon	上半晌
shangbanye	the first half	上半叶
shangbanshen	the upper body	上半身
shangbanbufen	upper part	上半部分
shangqu	go up	上去
shangkou	be able to read aloud fluently	上口
shanggu	the distant past	上古
shangguhanyu	Old Chinese	上古汉语
shangtai	rise to power	上台
shangsi	boss	上司
shanghe	SCO	上合
shangdiao	hang oneself	上吊
shangtongdiao	cohomology	上同调
shangtuxiaxie	vomit and have diarrhea	上吐下泻
shangzhou	last week	上周
shangpin	top-quality	上品
shangchun	upper lip	上唇
shangshanruoshui	the ideal is to be like water	上善若水
shanghui	last time	上回
shangpo	uphill	上坡
shangpoduan	uphill section	上坡段
shangpolu	uphill road	上坡路
shangcheng	see 上城區|上城区[Shang4 cheng2 Qu1]	上城
shangyu	codomain	上域
shangbao	report to one's superiors	上报
shangchang	on stage	上场
shangfen	visit a grave	上坟
shangye	be on night duty	上夜
shangdahao	defecate	上大号
shangtian	Heaven	上天
shangkuake	up quark	上夸克
shanghao	first-rate	上好
shangxue	go to school	上学
shangguan	high-ranking official	上官
shangjia	preceding player	上家
shangjiang	general	上将
shangjiangjun	top general	上将军
shangwei	captain	上尉
shangceng	upper layer	上层
shangcengjianzhu	superstructure	上层建筑
shangshan	climb a hill	上山
shangshanxiaxiang	work in the fields	上山下乡
shangan	go ashore	上岸
shangfeng	peak	上峰
shanggang	take up one's post	上岗
shanggong	go to work	上工
shangshi	hit the market	上市
shangshigongsi	listed company	上市公司
shangdi	God	上帝
shangnian	last year	上年
shangnianji	get old	上年纪
shangchuang	go to bed	上床
shangzuo	seat of honor	上座
shangzuolu	seat occupancy rate	上座率
shangzuobu	Theravada school of Buddhism	上座部
shangcesuo	go to the bathroom	上厕所
shangxianyue	first quarter moon	上弦月
shangxin	carefully	上心
shangsi	see 上思縣|上思县[Shang4 si1 Xian4]	上思
shangfang	see 正房[zheng4 fang2]	上房
shangshou	obtain	上手
shangyang	rise	上扬
shangyangqushi	upward trend	上扬趋势
shangwen	the text above	上文
shangxin	introduce new items	上新
shangxinshi	Pliocene	上新世
shangfang	place above	上方
shangfangbaojian	imperial sword	上方宝剑
shangxun	first third of a month	上旬
shangxing	broadcast via satellite	上星
shangxingju	satellite television show	上星剧
shangxingqi	last week	上星期
shangying	screen	上映
shangshu	write a letter	上书
shangyue	last month	上月
shangqi	previous period	上期
shanglin	see 上林縣|上林县[Shang4 lin2 Xian4]	上林
shangjia	put goods on shelves	上架
shangli	see 上栗縣|上栗县[Shang4 li4 Xian4]	上栗
shangzhuo	place  on the table	上桌
shanggan	backswing	上杆
shangliang	lay an upper beam	上梁
shanglou	go upstairs	上楼
shangbiao	superscript	上标
shangdangjian	Shift key	上档键
shangci	last time	上次
shangkuan	addressee	上款
shangqibujiexiaqi	be out of breath	上气不接下气
shangshui	Sheung Shui	上水
shangshui	upper reaches	上水
shangliu	upper class	上流
shangliushehui	upper class	上流社会
shangfu	float up	上浮
shanghai	Shanghai municipality	上海
shanghaijiaotongdaxue	Shanghai Jiao Tong University	上海交通大学
